model,run,gene,n,n_pathogenic,n_benign,valid,auroc,ci_lo,ci_hi,accuracy,pred_pos_frac
dnabert2,DNABERT-2 seed 42,CACNA1S,1757,451,1306,True,0.7139842378515668,0.6864453724404064,0.740872927425747,0.7387592487194081,0.22083096186681844
dnabert2,DNABERT-2 seed 42,ARID1A,941,221,720,True,0.628657616892911,0.5866117091835256,0.6682228082187416,0.6886291179596175,0.206163655685441
dnabert2,DNABERT-2 seed 42,BRAF,807,191,616,True,0.736367036105256,0.6987428330234945,0.7735861902817536,0.7385377942998761,0.15117719950433706
dnabert2,DNABERT-2 seed 42,F8,740,638,102,True,0.6214733542319749,0.5598138593487475,0.6762846672819972,0.40405405405405403,0.3256756756756757
dnabert2,DNABERT-2 seed 42,CTNNB1,542,242,300,True,0.7152754820936639,0.6707428826009817,0.7542478494583376,0.6309963099630996,0.21033210332103322
dnabert2,DNABERT-2 seed 42,ABL1,521,46,475,True,0.6462242562929061,0.5605391028172865,0.7311704805491991,0.7735124760076776,0.19193857965451055
dnabert2,DNABERT-2 seed 42,FBXW7,101,32,69,True,0.6983695652173914,0.5957754199823165,0.7926412403783093,0.6435643564356436,0.2376237623762376
dnabert2,DNABERT-2 seed 42,BCR,58,0,58,False,,,,0.8448275862068966,0.15517241379310345
dnabert2,DNABERT-2 seed 1,ATM,5804,2715,3089,True,0.6801932479474784,0.6660783369374553,0.6943289444732151,0.6195727084769125,0.5191247415575465
dnabert2,DNABERT-2 seed 1,BRCA2,5804,3970,1834,True,0.6503139000519161,0.6343639039904718,0.6653452900954057,0.6064782908339077,0.562026188835286
dnabert2,DNABERT-2 seed 1,DMD,5804,2392,3412,True,0.6777585356816587,0.6631976257407397,0.6898907880915129,0.6130254996554101,0.5289455547898001
dnabert2,DNABERT-2 seed 1,NF1,5804,3440,2364,True,0.6684834041632235,0.6542787881421444,0.68324136801263,0.6078566505858028,0.5017229496898691
dnabert2,DNABERT-2 seed 1,CDH1,2673,979,1694,True,0.6415137003399609,0.6198082881611424,0.6616341520088452,0.6169098391320613,0.38047138047138046
dnabert2,DNABERT-2 seed 1,ALK,2424,299,2125,True,0.6334936061381075,0.6002993417189174,0.6660369015632174,0.6765676567656765,0.30981848184818483
dnabert2,DNABERT-2 seed 1,CACNA1S,1757,451,1306,True,0.7068994203794189,0.6786701818888519,0.7326902730006428,0.6858281161070006,0.29766647694934545
dnabert2,DNABERT-2 seed 1,ARID1A,941,221,720,True,0.6222285067873303,0.5788806606512129,0.6667164937334255,0.6609989373007439,0.31243358129649307
dnabert2,DNABERT-2 seed 1,BRAF,807,191,616,True,0.6755031617597063,0.6346503897650605,0.7122066303052501,0.6418835192069393,0.3990086741016109
dnabert2,DNABERT-2 seed 1,F8,740,638,102,True,0.6463212244145307,0.578733925375236,0.7088412478837368,0.6675675675675675,0.6648648648648648
dnabert2,DNABERT-2 seed 1,CTNNB1,542,242,300,True,0.6740771349862259,0.6283731149573896,0.7152724284281898,0.5940959409594095,0.5166051660516605
dnabert2,DNABERT-2 seed 1,ABL1,521,46,475,True,0.6381235697940504,0.5517476477699413,0.7247148635141262,0.72552783109405,0.2629558541266795
dnabert2,DNABERT-2 seed 1,FBXW7,101,32,69,True,0.7146739130434783,0.6113694735256459,0.8098659003831418,0.6435643564356436,0.49504950495049505
dnabert2,DNABERT-2 seed 1,BCR,58,0,58,False,,,,0.7931034482758621,0.20689655172413793
dnabert2,DNABERT-2 seed 2,ATM,5804,2715,3089,True,0.7213832484661608,0.7076425526979465,0.7348010317961987,0.6535148173673329,0.27842866988283943
